total_crashes,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed,pedestrian_injured,pedestrian_killed,persons_injured,persons_killed,year_month,council
313,4,0,63,0,41,1,108,1,2017-01,20
236,8,0,70,0,15,0,93,0,2017-01,21
215,8,0,47,0,30,0,85,0,2017-01,22
308,2,0,129,0,15,0,146,0,2017-01,23
298,3,0,76,0,35,0,114,0,2017-01,24
173,11,0,24,0,24,1,59,1,2017-01,25
372,19,0,116,0,32,0,167,0,2017-01,26
311,1,0,141,0,45,0,187,0,2017-01,27
305,2,0,167,0,31,0,200,0,2017-01,28
291,1,0,124,0,32,0,157,0,2017-01,29
304,4,0,76,0,13,0,93,0,2017-01,30
332,3,0,168,0,33,1,204,1,2017-01,31
237,3,0,93,0,24,0,120,0,2017-01,32
433,13,0,94,0,45,0,152,0,2017-01,33
313,14,0,86,0,29,0,129,0,2017-01,34
249,9,0,85,0,48,0,142,0,2017-01,35
203,12,0,84,0,25,0,121,0,2017-01,36
281,7,0,95,0,21,1,123,1,2017-01,37
289,4,0,76,0,42,0,122,0,2017-01,38
282,5,0,49,0,34,0,88,0,2017-01,39
221,2,0,66,0,37,1,105,1,2017-01,40
267,4,0,101,0,42,0,147,0,2017-01,41
317,5,0,129,0,34,1,168,1,2017-01,42
239,1,0,72,0,20,0,93,0,2017-01,43
229,9,0,43,3,41,0,93,3,2017-01,44
296,3,0,173,0,43,1,219,1,2017-01,45
289,5,0,75,0,29,0,109,0,2017-01,46
185,2,0,33,0,25,1,60,1,2017-01,47
241,10,0,37,0,30,2,77,2,2017-01,48
263,2,0,76,0,37,0,115,0,2017-01,49
330,2,0,153,0,31,0,186,0,2017-01,50
244,5,0,65,0,12,0,82,0,2017-01,51
466,14,0,48,0,26,0,88,0,2017-02,1
242,13,0,29,0,16,0,58,0,2017-02,2
592,19,0,49,0,39,0,107,0,2017-02,3
491,8,0,36,0,27,0,71,0,2017-02,4
188,4,0,15,0,10,0,29,0,2017-02,5
210,8,0,31,0,13,1,52,1,2017-02,6
164,1,0,12,0,12,0,25,0,2017-02,7
431,6,0,76,0,18,0,100,0,2017-02,8
267,5,0,32,0,16,0,53,0,2017-02,9
226,3,0,32,0,17,0,52,0,2017-02,10
282,1,0,59,2,8,0,68,2,2017-02,11
256,1,0,72,0,19,0,92,0,2017-02,12
249,1,0,56,0,22,0,79,0,2017-02,13
265,2,0,55,0,22,1,79,1,2017-02,14
366,5,0,67,0,29,0,101,0,2017-02,15
197,5,0,42,0,12,0,59,0,2017-02,16
346,4,0,75,0,26,0,105,0,2017-02,17
223,2,0,34,0,12,0,48,0,2017-02,18
324,1,0,57,0,12,0,70,0,2017-02,19
374,8,0,50,0,33,0,91,0,2017-02,20
241,6,0,49,0,11,1,66,1,2017-02,21
227,5,0,48,0,9,0,62,0,2017-02,22
308,0,0,67,0,6,0,73,0,2017-02,23
292,0,0,65,0,18,0,83,0,2017-02,24
157,4,0,22,0,14,0,40,0,2017-02,25
361,8,0,64,0,14,0,86,0,2017-02,26
328,0,0,93,0,9,0,102,0,2017-02,27
336,0,0,92,0,12,0,104,0,2017-02,28
283,2,0,47,0,10,0,59,0,2017-02,29
301,3,0,49,0,6,0,58,0,2017-02,30
327,0,0,94,0,10,0,104,0,2017-02,31
289,2,0,72,0,14,0,88,0,2017-02,32
442,8,0,56,0,20,0,84,0,2017-02,33
312,10,0,52,0,20,0,82,0,2017-02,34
263,5,0,52,0,20,0,77,0,2017-02,35
214,5,0,44,0,16,0,65,0,2017-02,36
288,4,0,72,0,16,0,92,0,2017-02,37
363,6,0,55,0,17,0,78,0,2017-02,38
288,6,0,55,0,11,0,72,0,2017-02,39
194,8,0,54,0,12,0,74,0,2017-02,40
261,0,0,50,0,18,0,68,0,2017-02,41
296,1,0,72,0,26,0,99,0,2017-02,42
243,2,0,37,0,13,0,52,0,2017-02,43
213,7,0,29,0,13,0,49,0,2017-02,44
270,2,0,95,0,10,0,107,0,2017-02,45
270,0,0,62,1,17,0,79,1,2017-02,46
191,4,0,16,0,10,0,30,0,2017-02,47
239,5,0,37,0,13,0,55,0,2017-02,48
280,2,0,50,0,12,0,64,0,2017-02,49
346,0,0,83,0,11,0,94,0,2017-02,50
220,0,0,38,0,5,1,43,1,2017-02,51
468,14,0,38,0,28,0,80,0,2017-03,1
307,8,0,39,0,15,0,62,0,2017-03,2
628,11,0,30,0,40,0,81,0,2017-03,3
623,15,0,44,0,29,0,88,0,2017-03,4
202,8,0,15,0,9,0,32,0,2017-03,5
239,2,0,21,0,8,0,31,0,2017-03,6
160,3,0,29,0,7,0,39,0,2017-03,7
444,8,0,58,0,18,1,84,1,2017-03,8
258,3,0,34,0,23,0,60,0,2017-03,9
210,0,0,30,1,10,1,40,2,2017-03,10
